서명,저자,출판사,출판년
위대한 마법사 오즈,L. 프랭크 바움 지음 ; W. W. 덴슬로우 그림 ; 최인자 옮김,문학세계사,2012
위대한 쭈랑 장군,윤재인 글 ; 오승민 그림,느림보,2012
위풍당당 고사성어 자신만만 국어왕 : 고전으로 보는 사자성어,남상욱 글 ; 박정인 그림,상상의집,2013
유럽에 사는 내 친구들,유영소 기획·취재 ; 박해남 그림,아이세움,2013
"으랏차차, 들돌 들어라!",신정민 글 ; 이경석 그림,웅진주니어,2012
음악신동 노빈손 모차르트의 수제자가 되다,남동욱 지음 ; 이우일 일러스트,뜨인돌출판,2012
음악은 어디에서 오는 걸까요,도미틸 드 비에나시스 글 ; 그웬달 블롱델 그림 ; 백선희 옮김,산하,2012
"이것이 완전한 국가다 : 플라톤에서 칼렌바크까지, 정치 사상가 12인이 말하는 최상의 국가",만프레트 마이 글 ; 아메바피쉬 그림 ; 박민수 옮김,비룡소,2012
(전설 찾아 두근두근)이야기 마을에 놀러 갈래,윤승일 글 ; 김지나 그림,고즈넉,2012
이젠 밤이 무섭지 않아,위르크 슈비거 글 ; 에바 무겐트할러 그림 ; 한희진 옮김,살림어린이,2011
이젠 비밀이 아니야,유정이 지음 ; 원유미 그림,푸른책들,2010
(만화)한국사 바로 보기. 11 : 현대 상 (1945~1978),유경원 ; 권민정 [공]글 ; 이현세 만화,녹색지팡이&프레스,2012
(만화)한국사 바로 보기. 12 : 현대 하 (1979~2002),유경원 ; 권민정 [공]글 ; 이현세 만화,녹색지팡이&프레스,2012
일곱 빛깔 독도 이야기,황선미 글 ; 우지현 그림,조선Books,2013
잃어버린 시간을 찾아서,마르셀 프루스트 원작 ; 최윤정 글 ; 한종천 그림,채우리,2012
자동차 아래 고양이 : 김시민 동시집,김시민 시 ; 장민정 그림,리젬,2012
자연의 색이 품은 비밀,최재천 ; 서수연 [공]글 ; 소복이 그림,리젬,2012
작은 책방,엘리너 파전 지음 ; 에드워드 아디존 그림 ; 햇살과나무꾼 옮김,길벗어린이,2011
"저요, 저요!",정진 글 ; 소노수정 그림,좋은책어린이,2012
저학년을 위한 직업책,뿌리와문화체험교실 지음 ; 윤유리 그림,계림북스,2012
전설의 땅 고대 그리스,쥘리엣 베크 지음 ; 류재화 옮김,토마토하우스,2012
"접골사가 될래, 벌레를 키울래 : 아즈텍·마야의 별난 직업 100가지",로리 콜터 글 ; 마사 뉴비깅 그림 ; 정범진 ; 정수연 [공]옮김,시공주니어,2012
정말로 믿기 어려운 이야기,로베르트 발저 글 ; 캐티 벤트 그림 ; 조국현 옮김,소년한길,2004
(정조와 함께 가는 8일간의)화성 행차,황은주 글 ; 강윤정 그림,그린북,2013
(침팬지와 함께한)제인 구달,김나경 글 ; 김민철 그림,리젬,2012
조각보 이불,최지현 [외]지음 ; 이상현...[등]그림,푸른책들,2010
조선 왕릉 : 효심을 다해 지은 왕의 무덤,임소연 글 ; 오연 그림,문학동네,2012
(한 권으로 보는)조선의 다섯 궁궐 이야기,황은주 글 ; 양은정 그림,그린북,2012
종이 로봇 카미,후루타 다루히 글 ; 호리우치 세이이치 그림 ; 강방화 옮김,한림출판사,2011
종이칼,김병규 글 ; 윤희동 그림,스콜라,2012
종이칼,김병규 글 ; 윤희동 그림,스콜라,2012
지구 최강 꽃미남이 되고 싶어,이송현 글 ; 김진화 그림,살림어린이,2012
지구가 100명의 마을이라면,데이비드 스미스 지음 ; 셸라 암스트롱 그림 ; 노경실 옮김,푸른숲주니어,2012
지구가 100명의 마을이라면,데이비드 스미스 지음 ; 셸라 암스트롱 그림 ; 노경실 옮김,푸른숲주니어,2012
지구가 더워지면 북극곰은 어떡해요,캐럴라인 아널드 글 ; 제이미 호건 그림 ; 윤소영 옮김,비룡소,2012
"지구야, 우리 말 좀 들어줘",원샤오핑 글 ; 차이쟈화 그림 ; 남은숙 옮김,책속물고기,2012
"지구야, 우리 말 좀 들어줘",원샤오핑 글 ; 차이쟈화 그림 ; 남은숙 옮김,책속물고기,2012
지구촌 아이들 : 세상을 바꾸는 작은 이야기,앙헬 부르가스 글 ; 이그나시 블란치 그림 ; 배상희 옮김,담푸스,2012
지구촌 아이들 : 세상을 바꾸는 작은 이야기,앙헬 부르가스 글 ; 이그나시 블란치 그림 ; 배상희 옮김,담푸스,2012
지금이 가장 좋습니다 : 가야금 음악가 황병기 이야기,우순교 글 ; 조은영 그림,웅진주니어,2012
지금이 가장 좋습니다 : 가야금 음악가 황병기 이야기,우순교 글 ; 조은영 그림,웅진주니어,2012
지킬 박사와 하이드 씨,로버트 루이스 스티븐슨 지음 ; 피터 크로서 편저 ; 바네사 루바흐 그림 ; 김창규 옮김,가나출판사,2012
지팡이 하나로,조재훈 글 ; 홍성찬 그림,재미마주,2012
"(중국인들이 말하지 않는)진짜 중국 상고사. 1 : 황하, 역사를 태동하다-하",한동주 글.그림,주니어김영사,2012
"(중국인들이 말하지 않는)진짜 중국 상고사. 1 : 황하, 역사를 태동하다-하",한동주 글.그림,주니어김영사,2012
(중국인들이 말하지 않는)진짜 중국 상고사. 2 : 격랑 이는 황하-상,한동주 글.그림,주니어김영사,2012
(중국인들이 말하지 않는)진짜 중국 상고사. 2 : 격랑 이는 황하-상,한동주 글.그림,주니어김영사,2012
(중국인들이 말하지 않는)진짜 중국 상고사. 3 : 황하의 새로운 물길-주,한동주 글.그림,주니어김영사,2012
(중국인들이 말하지 않는)진짜 중국 상고사. 3 : 황하의 새로운 물길-주,한동주 글.그림,주니어김영사,2012
집으로,마이클 모퍼고 글 ; 피터 베일리 그림 ; 천미나 옮김,책과콩나무,2012
차라리 아프면 좋겠어!,루이제 홀트하우젠 글 ; 크리스티네 고펠 그림 ; 유혜자 옮김,개암나무,2012
창밖을 보면 뭐가 보이니 : 이 세상 100명의 아이가 꿈꾼 100가지 이야기,베아트릭스 슈닙펜쾨터 지음 ; 안체 담 그림 ; 강혜경 옮김,문학수첩리틀북,2013
창밖을 보면 뭐가 보이니 : 이 세상 100명의 아이가 꿈꾼 100가지 이야기,베아트릭스 슈닙펜쾨터 지음 ; 안체 담 그림 ; 강혜경 옮김,문학수첩리틀북,2013
채소 학교의 괴짜 친구들,윤재웅 글 ; 김중석 그림,맹＆앵,2012
"책, 즐겁게 읽는 법 : 어린이에게 들려주는 여덟 가지 책 이야기",박동석 글 ; 송은경 그림,꿈꾸는 꼬리연,2012
(초등 저학년을 위한)처음 한국사. 7 : 조선 후기의 새로운 흐름,김정호 ; 이희근 [공]글 ; 한용욱 그림,주니어RHK,2013
청동 거울과 옹기 장수 : 우리나라 전래동화,예종화 글 ; 김태란 그림,글사랑,2011
체리새먼 왕자,서울 글·그림,산소먹은책,2013
체리새먼 왕자,서울 글·그림,산소먹은책,2013
(초등학교 선생님도 몰래 보는)어린이 그림수학,마지 슈조 저 ; 김남진 역,아르고나인,2012
(초등학생이 꼭 알아야 할)성공한 사람들의 경제 습관,이아연 지음 ; 최지영 그림,참돌어린이,2012
(초등학생이 꼭 알아야 할)성공한 사람들의 긍정 습관,이아연 지음 ; 최지영 그림,참돌어린이,2012
(초등학생이 꼭 알아야 할)성공한 사람들의 10살 습관,박성철 글 ; 유영근 그림,참돌어린이,2011
초록말 벼리,홍종의 글 ; 이형진 그림,샘터,2010
추 선생님의 특별한 미술 수업,패트리샤 폴라코 글·그림 ; 천미나 옮김,책과콩나무,2013
추 선생님의 특별한 미술 수업,패트리샤 폴라코 글·그림 ; 천미나 옮김,책과콩나무,2013
친구 사이에 : 멈춰샘의 학교 폭력 함께 멈춰,정우진 글 ; 정혜원 그림,핵교,2012
친구를 찾습니다,사쿠라 토모코 글 ; 이모토 요코 그림 ; 이정원 옮김,문학동네,2012
칠지도 : 일곱 땅을 다스리는 칼,오세영 글 ; 이용규 그림,샘터사,2012
칭찬으로 재미나게 욕하기 : 바르고 고운 언어 예절 배우기,정진 글 ; 선영란 그림,키위북스,2012
커서 뭐가 될래,어린이 통합교과 연구회 글 ; 안경희 그림,상상의집,2013
콜럼버스의 지도,게리 베일리 ; 캐런 포스터 [공]글 ; 레이턴 노이스 ; 캐런 래드퍼드 [공]그림 ; 김석희 옮김,밝은미래,2012
콜럼버스의 지도,게리 베일리 ; 캐런 포스터 [공]글 ; 레이턴 노이스 ; 캐런 래드퍼드 [공]그림 ; 김석희 옮김,밝은미래,2012
쿰바의 꿈 : 조소정 연작동화,조소정 지음 ; 김동훈 일러스트,청개구리,2012
쿰바의 꿈 : 조소정 연작동화,조소정 지음 ; 김동훈 일러스트,청개구리,2012
"퀴즈! 과학상식. 51, 공부과학",권찬호 글 ; 손종근 그림,글송이,2012
크리스마스 거품 대소동,이주영 글·그림,아리샘,2013
크리스마스 거품 대소동,이주영 글·그림,아리샘,2013
키워드로 쉽게 읽는 고전 : 초등학생을 위한 새로운 고전 읽기법,최유성 지음,글담어린이,2012
(만화로 보는)탈무드,김정욱 구성 ; 김기수 그림,은하수 미디어,2012
이야기로 보는 탐험 지도책 : 세계를 바꾼 놀라운 발견,김경희 글 ; 조숙은 그림,휴이넘,2012
텔레비전 속 내 친구,크리스티네 뇌스틀링거 글 ; 유타 바우어 그림 ; 김영진 옮김,비룡소,2012
토끼 빵과 돼지 빵,오자와 다다시 글 ; 니시가와 오사무 그림 ; 고향옥 옮김,비룡소,2012
토끼 빵과 돼지 빵,오자와 다다시 글 ; 니시가와 오사무 그림 ; 고향옥 옮김,비룡소,2012
톨스토이 할아버지네 헌책방,권안 글 ; 김효진 그림 ; 조미경 도움글,주니어김영사,2012
톰소여의 모험,마크 트웨인 원작 ; 제로니모 스틸턴 글 ; 이현경 옮김,사파리,2013
톰소여의 모험,마크 트웨인 원작 ; 제로니모 스틸턴 글 ; 이현경 옮김,사파리,2013
통통 세계사. 4 : 근대의 설립부터 현대까지,신현수 글 ; 김기환 [외]그림,휴이넘,2012
(투아와)코끼리 폰폰,랜들 해리스 글 ; 유태은 그림 ; 이민아 옮김,위즈덤하우스,2012
(투아와)코끼리 폰폰,랜들 해리스 글 ; 유태은 그림 ; 이민아 옮김,위즈덤하우스,2012
티끌 모아 속담 문장력 일취월장 : 문장력을 키워주는 알짜배기 속담 30,정윤경 지음,다봄,2013
티끌 모아 속담 문장력 일취월장 : 문장력을 키워주는 알짜배기 속담 30,정윤경 지음,다봄,2013
"파라오가 될래, 미라를 만들래 : 고대 이집트의 별난 직업 100가지",크리스틴 부처 글 ; 마사 뉴비깅 그림 ; 정범진 ; 정수연 [공]옮김,시공주니어,2012
파자마 파티,나탈리 샤를르 글 ; 전은혜 그림 ; 이정주 옮김,책빛,2012
판소리 : 조선 팔도를 울리고 웃기다,김기형 글 ; 강전희 그림,문학동네어린이,2012
팥죽 할멈과 호랑이,서정오 글 ; 박경진 그림,보리,2011
평화를 꿈꾸는 도토리나무,오카도 다카코 글 ; 마쓰나가 요시로 그림 ; 고향옥 옮김,도토리숲,2012
푸른 황무지,데이비드 알몬드 글 ; 김연수 옮김,비룡소,2011
푸른빛으로 사라진 아이,백은하 글 ; 유기훈 그림,문학동네,2007
"플루타르크 영웅전 : 로마 편. 1, 로물루스, 로마의 위대한 건국자",플루타르크 원작 ; 문성호 그림 ; 김윤수 각색,고릴라박스,2012
"플루타르크 영웅전 : 로마 편. 1, 로물루스, 로마의 위대한 건국자",플루타르크 원작 ; 문성호 그림 ; 김윤수 각색,고릴라박스,2012
피자보다 맛있는 철학 이야기,정지영 글 ; 백정현 그림,여름숲,2012
하얀 수첩의 비밀,김병규 글 ; 정현 그림,Homebook,2011
하필이면 왕눈이 아저씨,앤 파인 글 ; 햇살과나무꾼 옮김,비룡소,2012
"하회탈, 다시 살아나다",무돌 글·그림,노란돼지,2013
학교에서 정치를 해요,브리지트 스마자 글 ; 원유미 그림 ; 이희정 옮김,밝은미래,2012
한 사람 부족해,이마무라 아시코 글 ; 정은지 옮김 ; 고현아 그림,산수야,2013
금방울전,안명옥 글 ; 이용규 그림,주니어김영사,2012
구운몽,김만중 원작 ; 방현희 글 ; 노성빈 그림,주니어김영사,2012
(읽으면 읽을수록 논술이 만만해지는)한국단편 읽기. 2,김정연 글 ; 김홍 그림,가람어린이,2013
(교과서에 나오는)한국사 인물 : 단군할아버지부터 김연아까지 : 한국을 빛낸 138명의 위인,김은아 글 ; 유설화 그림,계림북스,2012
(교과서에 나오는)한국사 인물 : 단군할아버지부터 김연아까지 : 한국을 빛낸 138명의 위인,김은아 글 ; 유설화 그림,계림북스,2012
(지리 공부 한 권으로 끝내는)한국 지리 한바퀴,임미연 지음 ; 우지현 그림,계림북스,2012
(만화로 보는)한눈에 쏙! 우리역사 : 조선 근대,서울대학교 뿌리깊은 역사나무 지음 ; 김윤수 글 ; 도니패밀리 그림,드림피그,2011
(만화로 보는)한눈에 쏙! 우리역사 : 조선 근대,서울대학교 뿌리깊은 역사나무 지음 ; 김윤수 글 ; 도니패밀리 그림,드림피그,2011
할아버지 손은 약손 : 사랑의 의사 장기려 박사 이야기,한수연 지음 ; 이유진 그림,하늘을 나는 교실,2011
해당화 공주,예종화 글 ; 이경 그림,글사랑,2013
해소녀,고희선 글 ; 이영경 그림,나한기획,2013
해소녀,고희선 글 ; 이영경 그림,나한기획,2013
해저 2만리,쥘 베른 원작 ; 제로니모 스틸턴 글 ; 이현경 옮김,사파리,2013
해저 2만리,쥘 베른 원작 ; 제로니모 스틸턴 글 ; 이현경 옮김,사파리,2013
행복한 골목길,김영이 외 글 ; 김태란 외 그림,HomeBook,2012
(5000년의 비밀노트)행운의 고물토끼,조우석 ; 김민기 ; 신선웅 [공]지음,한언,2012
(5000년의 비밀노트)행운의 고물토끼,조우석 ; 김민기 ; 신선웅 [공]지음,한언,2012
"형, 나를 지켜 줘!",박현숙 글 ; 김미현 그림,북스토리아이,2013
"(닮은 듯 다르고, 다른 듯 닮은)형제자매 이야기",윤정 글 ; 경혜원 그림,미래M&B,2012
(정조와 함께 가는 8일간의)화성 행차,황은주 글 ; 강윤정 그림,그린북,2013
화학 원소 아파트,이영란 글 ; 우지현 그림,미래엔,2012
화학 원소 아파트,이영란 글 ; 우지현 그림,미래엔,2012
환경 논쟁,장성익 글 ; 박종호 그림,풀빛,2012
환경 논쟁,장성익 글 ; 박종호 그림,풀빛,2012
황 반장 똥 반장 연애 반장,송언 글 ; 윤정주 그림,문학동네,2012
황금 사과를 딴 소녀,김지예 ; 차인우 [공]글 ; 성은혜지 그림,해솔,2013
희망이 내리는 학교,제임스 럼포드 그림.글 ; 최순희 옮김,시공주니어,2012
히트,마이크 루피카 글 ; 이원경 옮김,비룡소,2012
Ahn Cheolsoo,Viola Choi 지음,영진미디어,2012
"CEO 너구리, 은행장 부엉이, 그리고 족제비 : 숲 속을 발칵 뒤집은 경제 대소동",하노 벡 ; 율리아느 슈보흐 [공]글 ; 이형진 그림 ; 박종대 옮김,조선Books,2013
"CEO 너구리, 은행장 부엉이, 그리고 족제비 : 숲 속을 발칵 뒤집은 경제 대소동",하노 벡 ; 율리아느 슈보흐 [공]글 ; 이형진 그림 ; 박종대 옮김,조선Books,2013
"Hello, 도시락 편지",신정순 글 ; 임은진 그림,재미마주,2012
"Hello, 도시락 편지",신정순 글 ; 임은진 그림,재미마주,2012
Kim Yuna,Viola Choi ; Kim Youngsung [공]지음 ; 김완진 그림,영진미디어,2012
UFO를 따라간 외계인,서하원 글 ; 박은희 그림,문학동네,2011
Um Honggil,Celine Kim 지음,영진미디어,2012
(Why)의식주와 풍속,우덕환 글 ; 문성기 그림,예림당,2013
123 숫자 동화,나는북 지음 ; 김현 그림,애플비북스,2012
1학년 책가방이 왔다,나카가와 히로타카 글 ; 무라카미 야스나리 그림 ; 김숙 옮김,와이즈아이Books,2011
1학년이 되었어요 : 사진과 그림으로 만나는 1학년 교실 이야기,차태란 지음 ; 정일호 사진 ; 박태희 그림,해와나무,2013
ㄱㄴㄷ 한글 동화,나는북 지음 ; 김현 그림,애플비북스,2012
가디언즈와 잠의 요정 샌드맨,윌리엄 조이스 글·그림 ; 노은정 옮김,비룡소,2012
가슴이 콩닥콩닥,이소을 글.그림,상상박스,2013
감기마녀 에취뿅,김기용 글 ; 유환석 그림,해피스토리,2013
강 너머 저쪽에는,마르타 카라스코 그림·글 ; 이정하 옮김,시공주니어,2012
강아지 복실이,한미호 글 ; 김유대 그림,국민서관,2012
강아지 복실이,한미호 글 ; 김유대 그림,국민서관,2012
개미 100마리 나뭇잎 100장 : 가을 나뭇잎으로 배우는 숫자 0부터 100까지,노정임 글 ; 안경자 그림 ; 바람하늘지기 기획,웃는돌고래,2013
거위 아빠 : 노벨상을 수상한 동물학자 콘라트 로렌츠 이야기,일레인 그린스테인 쓰고 그림 ; 이수영 옮김,봄나무,2012
거위 아빠 : 노벨상을 수상한 동물학자 콘라트 로렌츠 이야기,일레인 그린스테인 쓰고 그림 ; 이수영 옮김,봄나무,2012
걱정꾸러기 월터의 걱정 없는 옷,레이첼 브라이트 글·그림 ; 최용은 옮김,키즈엠,2012
검은 말 하얀 말,차오원쉬엔 글 ; 치엔이 그림 ; 김선화 옮김,가치창조,2012
겨울은 재밌다!,마르쿠스 피스터 글 ; 알베르틴 그림 ; 공상공장 옮김,키즈엠,2012
겨울은 재밌다!,마르쿠스 피스터 글 ; 알베르틴 그림 ; 공상공장 옮김,키즈엠,2012
계절,박신식 글 ; 김윤정 그림,What School,2012
계절,박신식 글 ; 김윤정 그림,What School,2012
고릴라 가족,앤서니 브라운 글.그림,웅진주니어,2012
고맙습니다 Thank you,김지유 글 ; 산야 레섹 그림,블루래빗,2012
공룡이 쿵쿵쿵,[애플비 편집부 지음],애플비,2012
공룡이 쿵쿵쿵,[애플비 편집부 지음],애플비,2012
구름으로 만든 옷,마이클 캐치풀 글 ; 앨리슨 제이 그림 ; 글맛 옮김,키즈엠,2013
구름으로 만든 옷,마이클 캐치풀 글 ; 앨리슨 제이 그림 ; 글맛 옮김,키즈엠,2013
그건 내 모자야 : 꼬마 눈사람 스탄의 두 번째 이야기,히도 반 헤네흐텐 글·그림 ; 황재연 옮김,현북스,2012
그러그가 스키를 타요,테드 프라이어 지음 ; 김현좌 옮김,세용,2012
길 잃은 필루,마르쿠스 피스터 글.그림 ; 박진희 옮김,키즈엠,2012
길 잃은 필루,마르쿠스 피스터 글.그림 ; 박진희 옮김,키즈엠,2012
김수한무 거북이와 두루미 삼천갑자 동방삭 : 세상에서 가장 긴 이름,소중애 글 ; 이승현 그림,비룡소,2013
김수한무 거북이와 두루미 삼천갑자 동방삭 : 세상에서 가장 긴 이름,소중애 글 ; 이승현 그림,비룡소,2013
까꿍 숨바꼭질 : 엄마랑 까꿍놀이,[스마트베어 편집부 편] ; 홍미애 그림,스마트베어,2012
깨끗한 공원이 좋아요 : 나의 별 푸른 지구,찰스 기냐 글 ; 애그 자트코우스카 그림 ; 공상공장 옮김,키즈엠,2013
깨끗한 공원이 좋아요 : 나의 별 푸른 지구,찰스 기냐 글 ; 애그 자트코우스카 그림 ; 공상공장 옮김,키즈엠,2013
"꼬르륵, 냠냠",레베카 콥 글·그림 ; 신주영 옮김,상상스쿨,2012
꼬리야 넌 뭘 했니,여을환 글 ; 윤지 그림,길벗어린이,2012
꼬마 농부 올리버,장 반 리우벤 글 ; 아놀드 로벨 그림 ; 노은정 옮김,비룡소,2012
꼬마 눈사람 말미,게르트 한 글 ; 미리암 프리츠 ; 네세트 알-츄바이디 그림 ; 박진희 옮김,키즈엠,2012
꼬마 눈사람 말미,게르트 한 글 ; 미리암 프리츠 ; 네세트 알-츄바이디 그림 ; 박진희 옮김,키즈엠,2012
꼭꼭 숨어라!,나일성 글·그림 ; 김영수 옮김,애플비,2012
(코코몽2)나가서 놀자!,올리브 스튜디오 글.그림,킨더랜드,2012
나는 숲속마을 촌장님,이소비 기획·글 ; 임규석 그림,부즈펌어린이,2012
나는 행복해,라우디아 글리만 글 ; 스텔라 드라이스 그림 ; 윤혜정 옮김,아름다운사람들,2012
나도 같이 끼워 줄래,룩 코프만스 글·그림 ; 지명숙 옮김,북스토리아이,2012
나도 같이 끼워 줄래,룩 코프만스 글·그림 ; 지명숙 옮김,북스토리아이,2012
나도 동생이 있으면 좋겠어,아스트리드 린드그렌 글 ; 일론 비클란드 그림 ; 박진희 옮김,북뱅크,2012
나랑 친구할래,아순 발솔라 글·그림 ; 김미화 옮김,풀빛,2011
나의 특별한 장소,패트리샤 맥키삭 글 ; 제리 핑크니 그림 ; 이향순 옮김,북뱅크,2012
나팔꽃,아라이 마키 글·그림 ; 사과나무 옮김,크레용하우스,2012
(양동이 아줌마가 들려주는)날마다 행복해지는 이야기,캐롤 맥클라우드 글 ; 데이비드 메싱 그림 ; 이상희 옮김,열린어린이,2012
"날아라, 연아!",아마니 알아슈마위 글 ; 후나디 술라이뜨 그림 ; 공지현 옮김,여유당출판사,2012
내 동생 클로이,마이카 플레이어 글·그림 ; 글박스 옮김,상상박스,2013
내 동생은 외계인 푸파,김현주 지음 ; 김호민 그림,장수하늘소,2010
내 똥으로 길렀어요!,양혜원 글 ; 박지훈 그림,미래아이,2012
내 말에 귀 기울여 주세요,헤오르히나 로 글 ; 막사밀리아노 루치니 그림 ; 배상희 옮김,어린이작가정신,2012
내 모자 어디 갔을까,존 클라센 그림·글 ; 서남희 옮김,시공주니어,2012
내 빤쓰,박종채 글·그림,키다리,2013
내가 만약 대통령이 된다면,카트린 르블랑 글 ; 롤랑 가리그 그림 ; 이주영 옮김,책과콩나무,2012
내가 만약 대통령이 된다면,카트린 르블랑 글 ; 롤랑 가리그 그림 ; 이주영 옮김,책과콩나무,2012
내가 진짜 조선의 멋쟁이,이흔 글 ; 박상현 그림,웅진주니어,2012
내가 책이라면,쥬제 죠르즈 레트리아 글 ; 안드레 레트리아 그림 ; 임은숙 옮김,국민서관,2012
내일도 눈이 올까요,마사코 야마시타 글·그림 ; 최혜기 옮김,산하,2012
너 반쪽 나 반쪽,차오쥔옌 글·그림 ; 유엔제이 옮김,거북이북스,2012
"너, 제주도에 있니",허수경 글 ; 김재홍 그림,밝은미래,2012
너는 사랑이란다,우수명 글 ; 최정인 그림,이야기상자,2012
너만 없잖아!,에밀 자둘 글·그림 ; 박상은 옮김,김영사,2012
너에게 주고 싶은 책,마이클 숄더스 글 ; 테리 와이드너 그림 ; 김혜진 옮김,천개의바람,2012
널 만나 다행이야,콜린 톰슨 글.그림 ; 박수현 옮김,책읽는곰,2012
네가 세상에 처음 왔을 때,선안나 글 ; 엄미금 그림,학고재,2011
네가 숲으로 왔을 때,롤라 M. 섀퍼 글 ; 제시카 미저브 그림 ; 아이생각 옮김,키즈엠,2013
네가 숲으로 왔을 때,롤라 M. 섀퍼 글 ; 제시카 미저브 그림 ; 아이생각 옮김,키즈엠,2013
"네가 해 줘, 캣봇",강혜숙 글·그림,푸른숲주니어,2012
"네가 해 줘, 캣봇",강혜숙 글·그림,푸른숲주니어,2012
노라의 장미,이치카와 사토미 글·그림 ; 정숙경 옮김,다산어린이,2012
높이 더 높이,제르마노 쥘로 글 ; 알베르틴 그림 ; 조정훈 옮김,키즈엠,2012
높이 더 높이,제르마노 쥘로 글 ; 알베르틴 그림 ; 조정훈 옮김,키즈엠,2012
높이높이 날 거야,한태희 글 ; 김신희 그림,키다리,2012
높이높이 날 거야,한태희 글 ; 김신희 그림,키다리,2012
누가 열매를 딸까,김경화 글 ; 김미희 그림,블루래빗,2013
누구지,이범재 글.그림,계수나무,2013
눈,이보나 흐미엘레프스카 글·그림 ; 이지원 옮김,창비,2012
눈,이보나 흐미엘레프스카 글·그림 ; 이지원 옮김,창비,2012
눈은 왜 하얀색일까,하인츠 야니쉬 글 ; 질케 레플러 그림 ; 공상공장 옮김,키즈엠,2012
눈은 왜 하얀색일까,하인츠 야니쉬 글 ; 질케 레플러 그림 ; 공상공장 옮김,키즈엠,2012
달빛 왕자와 가디언즈의 탄생,윌리엄 조이스 글·그림 ; 노은정 옮김,비룡소,2012
달콤 바삭 촉촉 특별한 요리,김경화 글 ; 샤론 하머 그림,블루래빗,2013
대통령,재미난책보 글 ; 이진모 그림,어린이아현,2012
도둑,매건 웨일런 터너 지음 ; 장미란 옮김,봄나무,2011
"도서관 생쥐. 3, 책 속의 세계 탐험","다니엘 커크 글, 그림 ; 박선주 옮김",푸른날개,2012
"도서관 생쥐. 3, 책 속의 세계 탐험","다니엘 커크 글, 그림 ; 박선주 옮김",푸른날개,2012
돈키호테,[세르반테스 원작] ; 카를로스 레비에호 각색 ; 사발라 에르레로 그림 ; 권미선 옮김,문학동네어린이,2005
동물과 나 : 흥미롭고 놀라운 비교,마리 그린우드 글 ; 김경희 옮김,효리원,2011
동물들의 첫 올림픽,문종훈,웅진주니어,2012
동물들의 첫 올림픽,문종훈,웅진주니어,2012
동물원 동요,[스마트베어 편집부 편] ; 고성은 그림,스마트베어,2012
동생이 호박으로 변했어!,제임스 마셜 글.그림 ; 노은정 옮김,비룡소,2012
동생이 호박으로 변했어!,제임스 마셜 글.그림 ; 노은정 옮김,비룡소,2012
똑똑해지는 낙서 두들 백과사전 : 낙서하며 배우는 놀라운 사실들!,DK 편집부 지음 ; 신수진 ; 문지영 [공]옮김,시공주니어,2012
(아기고릴라 둥둥)둥둥아 누가 똥 쌌어 : 아기고릴라 둥둥 EBS TV 방영,[삼성당 편집부 편] ; 써니싸이드 그림,삼성당,2012
들꽃이 핍니다,김근희 지음,한솔교육,2012
떡 하나 주면 안 잡아먹지 : 찌코 빠코의 모험,윤재웅 글 ; 윤의품 그림·사진,맹&앵,2011
똥냄새 가족 깨끗이네 가다!,사라 아고스티니 글 ; 마르타 투냉 그림 ; 이종은 엮음,지에밥,2012
똥오줌,재미난책보 글 ; 김진희 그림,어린이아현,2012
뚱보 두두와 나,디디에 레비 글 ; 셀마 만딘 그림 ; 조정훈 옮김,키즈엠,2012
스페셜 라바 : 기발한 웃음악동. 2 : 좌충우돌 톡톡쇼,투바엔터테인먼트 지음,형설아이,2013
로봇 친구,오세나 지음,장수하늘소,2013
로지와 마법의 말,러셀 호번 지음 ; 퀜틴 블레이크 그림 ; 정이립 옮김,살림출판사,2012
루루의 첫 번째 크리스마스,돈 리처즈 글 ; 하이디 다멜스 그림 ; 최용은 옮김,키즈엠,2012
루루의 첫 번째 크리스마스,돈 리처즈 글 ; 하이디 다멜스 그림 ; 최용은 옮김,키즈엠,2012
릴리이야기,패트리샤 레일리 기프 글 ; 윤미성 옮김,개암나무,2010
마녀 위니의 공룡 소동,밸러리 토머스 글 ; 코키 폴 그림 ; 노은정 옮김,비룡소,2012
마리는 욕심쟁이,베르나르 빌리오 글 ; 멜라니 알라그 그림 ; 조정훈 옮김,키즈엠,2012
마법사 대 마법사,강여울 글 ; 홍찬주 그림,아르볼,2011
(하루 15분)마사지 동화 : '이야기'와 '마사지'가 만났다! 두뇌 쑥쑥 마사지 동작 46가지 수록,조영미 지음 ; 김진영 ; 이필원 ; 최호정 [공]그림,프리미엄북스,2012
만일 이 세상 바다가 하나가 된다면,미국 전래동요 글 ; 재니나 도만스카 그림 ; 이경우 옮김,한림출판사,2009
말의 알을 찾아,비쁘러다스 버루아 글 ; 하셈 칸 그림 ; 로이 알록 꾸마르 옮김,보림출판사,2012
말의 알을 찾아,비쁘러다스 버루아 글 ; 하셈 칸 그림 ; 로이 알록 꾸마르 옮김,보림출판사,2012
맑은 물이 좋아요 : 나의 별 푸른 지구,찰스 기냐 글 ; 애그 자트코우스카 그림 ; 공상공장 옮김,키즈엠,2013
맑은 물이 좋아요 : 나의 별 푸른 지구,찰스 기냐 글 ; 애그 자트코우스카 그림 ; 공상공장 옮김,키즈엠,2013
맛있는 구름 콩 : 두부 이야기,임정진 글 ; 윤정주 그림,국민서관,2012
